"Gender","Birth_Year","Education_Level","Ethnic_Group","Mother_Immigrant","Father_Immigrant","Newspaper","Family_Savings","Class_ID","Vote_Labour"
"Female",1942,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily",NA,"Working Class",0
"Female",1982,NA,"New Zealander first, ethnic group second","Immigrant","Not an immigrant","Less than weekly","Just get by","Working Class",0
"Female",NA,NA,"Pakeha","Not an immigrant",NA,"Daily","Save money","Lower Middle Class",0
"Female",1989,"Some university, no degree","European","Not an immigrant","Not an immigrant","Weekly","Save money","Lower Middle Class",1
NA,1984,"Some university, no degree","European","Not an immigrant","Not an immigrant","Weekly","Just get by",NA,0
NA,1950,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,0
"Male",1986,"Some university, no degree","New Zealander first, ethnic group second","Immigrant",NA,"Daily","Just get by","Working Class",0
"Male",1955,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money",NA,0
"Female",1957,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by",NA,0
"Female",1976,"Some university, no degree","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money",NA,0
"Male",NA,"University, with degree","New Zealander first, ethnic group second",NA,"Not an immigrant","Daily",NA,"Upper middle Class",1
"Female",1974,"University, with degree","New Zealander first, ethnic group second",NA,"Not an immigrant","Weekly","Save money","Upper middle Class",0
"Female",1935,"Secondary school",NA,NA,"Not an immigrant","Daily",NA,NA,0
"Male",1937,"Secondary school","European",NA,"Not an immigrant","Daily","Just get by","Working Class",1
"Male",1993,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Lower Class",0
"Female",1951,"University, with degree","New Zealander first, ethnic group second",NA,NA,"Daily","Save money",NA,1
"Female",1949,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Spent some savings and borrowed money","Lower Middle Class",0
"Female",1968,"Secondary school","European","Not an immigrant","Not an immigrant","Less than weekly",NA,"Upper middle Class",0
NA,1976,"Secondary school","Pakeha","Not an immigrant",NA,NA,"Just get by","Lower Class",0
NA,1981,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Upper middle Class",0
"Female",1941,"University, with degree","European","Not an immigrant","Not an immigrant","Weekly","Spent savings and borrowed money","Upper middle Class",1
"Male",1988,NA,"Maori","Not an immigrant","Not an immigrant","Weekly","Just get by","Lower Class",0
"Female",1984,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Lower Middle Class",0
NA,1936,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1962,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily",NA,"Lower Middle Class",0
"Female",1960,"University, with degree",NA,"Not an immigrant","Not an immigrant","Daily","Just get by","Upper middle Class",0
"Female",NA,"Secondary school","European","Immigrant","Not an immigrant","Daily","Just get by",NA,0
"Male",1962,"University, with degree","European","Immigrant","Not an immigrant","Weekly",NA,"Lower Middle Class",0
"Female",1956,"Some university, no degree","New Zealander first, ethnic group second","Immigrant",NA,NA,"Save money","Lower Middle Class",0
"Male",1938,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Less than weekly","Spent some savings and borrowed money","Lower Middle Class",0
"Male",1941,"Secondary school","Pakeha","Not an immigrant","Not an immigrant","Daily","Save money","Working Class",1
"Male",1936,"Secondary school","Asian","Not an immigrant","Not an immigrant","Daily","Save money","Lower Middle Class",0
"Male",NA,"University, with degree","European","Not an immigrant","Not an immigrant",NA,"Save money","Upper middle Class",1
"Female",1959,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Not an immigrant","Daily","Just get by","Working Class",1
"Male",1930,"Secondary school",NA,"Immigrant","Immigrant",NA,"Save money","Working Class",1
"Female",1966,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",NA,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Working Class",NA
"Female",1941,"Some university, no degree",NA,"Not an immigrant","Not an immigrant","Daily",NA,"Upper middle Class",0
"Female",1952,"Some university, no degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Upper middle Class",0
"Female",1959,"Secondary school","European","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",1
"Female",1955,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Immigrant","Weekly","Save money","Upper middle Class",0
"Female",1932,NA,NA,"Not an immigrant","Not an immigrant","Daily","Spent some savings and borrowed money","Working Class",0
"Female",1966,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Working Class",0
"Female",1953,"University, with degree","Pakeha","Not an immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1959,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Spent savings and borrowed money","Working Class",NA
"Male",1941,"Secondary school","New Zealander first, ethnic group second","Not an immigrant",NA,"Daily","Just get by","Working Class",0
"Female",NA,"University, with degree","Maori","Not an immigrant","Not an immigrant","Weekly","Save money","Lower Middle Class",0
"Female",1986,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily",NA,NA,0
"Female",1961,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by","Working Class",0
"Female",1963,"Some university, no degree","New Zealander first, ethnic group second","Immigrant","Immigrant","Less than weekly","Just get by",NA,1
"Female",1946,"Secondary school","Pakeha",NA,"Not an immigrant","Daily","Spent some savings and borrowed money","Working Class",0
"Female",NA,"University, with degree","Maori","Not an immigrant","Not an immigrant","Daily","Save money",NA,NA
"Female",1987,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Save money","Working Class",0
"Male",1968,"Secondary school","European","Not an immigrant","Not an immigrant","Weekly","Just get by","Lower Middle Class",0
"Male",1964,"Secondary school","Pakeha",NA,NA,"Daily","Save money","Working Class",1
"Female",1955,"University, with degree","Maori","Not an immigrant","Not an immigrant","Weekly","Save money","Lower Middle Class",0
"Female",NA,"Secondary school","Pakeha","Immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Male",1939,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Just get by","Working Class",0
NA,1956,"Some university, no degree","Pakeha","Not an immigrant",NA,"Daily","Spent savings and borrowed money","Lower Middle Class",0
"Female",1985,"Some university, no degree","Maori","Not an immigrant","Not an immigrant","Weekly","Just get by","Working Class",0
NA,1984,"University, with degree","New Zealander first, ethnic group second",NA,"Not an immigrant","Daily","Save money","Upper middle Class",NA
"Male",NA,NA,"New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Less than weekly","Just get by",NA,0
"Male",1935,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by",NA,NA
"Female",1973,"Secondary school","Maori","Not an immigrant","Not an immigrant","Less than weekly","Save money","Working Class",NA
"Female",1969,"Some university, no degree","Pacific Islander","Immigrant","Immigrant",NA,"Just get by",NA,1
"Female",1968,"University, with degree","European","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",0
"Male",1957,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent some savings and borrowed money","Working Class",0
"Female",1965,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Weekly","Spent savings and borrowed money","Working Class",0
"Female",1978,"University, with degree","New Zealander first, ethnic group second","Not an immigrant",NA,"Daily","Save money",NA,0
NA,NA,NA,"New Zealander first, ethnic group second","Immigrant","Immigrant",NA,NA,NA,0
NA,1974,NA,"New Zealander first, ethnic group second","Immigrant","Immigrant","Daily","Just get by","Working Class",0
"Female",1959,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Just get by","Lower Middle Class",0
"Female",1986,"University, with degree",NA,"Not an immigrant","Immigrant","Less than weekly","Save money","Upper middle Class",1
"Male",1964,"University, with degree","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant","Daily","Save money","Upper middle Class",1
"Female",1955,"Secondary school","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily","Save money","Lower Middle Class",0
"Female",1940,"Secondary school","New Zealander first, ethnic group second","Immigrant","Immigrant","Daily","Save money","Upper middle Class",NA
"Female",1974,"Secondary school","New Zealander first, ethnic group second","Not an immigrant","Not an immigrant",NA,"Save money","Working Class",0
